diputadoID,nombre,distrito
414,"D'ALESSANDRO, Miguel H.",Córdoba
415,"DALLA FONTANA, Ariel",Santa Fe
416,"D'AMBROSIO, Angel Mario",Santa Fe
417,"DAMIANI, Hernán Norberto Luis",Misiones
418,"DAMILANO GRIVARELLO, Viviana Mónica",Chaco
419,"DAS NEVES, Mario",Chubut
420,"DATO, Alfredo Carlos",Tucumán
421,"DAUD, Jorge Carlos",Entre Ríos
422,"DAVID, Néstor Javier",Salta
423,"DAZA, Héctor Rubén",Jujuy
424,"DE BALDRICH, Jorge Amadeo",Mendoza
425,"DE BARIAZARRA, Roberto Rodolfo",Rio Negro
426,"DE BERNARDI, Eduardo",Chubut
427,"DE BRASI, Marta Susana",Cdad.Aut.Bs.As.
428,"DE FERRARI RUEDA, Patricia",Córdoba
429,"DE GENNARO, Victor Norberto",Buenos Aires
430,"DE LA BARRERA, Guillermo",Catamarca
431,"DE LA ROSA, Maria Graciela",Formosa
432,"DE MARCHI, Omar Bruno",Mendoza
433,"DE MARTINO, Victor Amador",Buenos Aires
434,"DE MENDIGUREN, José Ignacio",Buenos Aires
435,"DE NARVAEZ, Francisco",Buenos Aires
436,"DE NUCCIO, Fabián",Buenos Aires
437,"DE PAULA, Victor Francisco",Buenos Aires
438,"DE PEDRO, Eduardo Enrique",Buenos Aires
439,"De PONTI, Lucila",Santa Fe
440,"DE PRAT GAY, Alfonso",Cdad.Aut.Bs.As.
441,"DE SANCTIS, Guillermo Horacio",San Juan
442,"De VIDO, Julio Miguel",Buenos Aires
443,"DEL CAMPILLO, Héctor Eduardo",Córdoba
444,"DEL CAÑO, Nicolás",Mendoza
445,"DEL CASTILLO, Fernando Raul",Buenos Aires
446,"DEL FABRO, Lilian del Carmen",Santa Fe
447,"DEL RICCIO, Ana María del Carmen",Formosa
448,"DELAJONQUIERE, Nelson",Santa Fe
449,"D'ELIA, Roberto Antonio",Buenos Aires
450,"DELICH, Andrés Guillermo",Cdad.Aut.Bs.As.
451,"DELICH, Francisco",Córdoba
452,"DELLEPIANE, Carlos Francisco",Buenos Aires
453,"DEPETRI, Edgardo Fernando",Buenos Aires
454,"DI BENEDETTO, Gustavo Daniel",Chubut
455,"DI COLA, Eduardo Román",Córdoba
456,"DI LANDRO, Oscar Jorge",Buenos Aires
457,"DI LEO, Marta Isabel",Buenos Aires
458,"DI POLLINA, Eduardo Alfredo",Santa Fe
459,"DI STEFANO, Daniel",Misiones
460,"DI TULIO, Hector Horacio",Santa Cruz
461,"DI TULLIO, Juliana",Buenos Aires
462,"DIAZ BANCALARI, José María",Buenos Aires
463,"DIAZ COLODRERO, Agustín",Corrientes
464,"DIAZ COLODRERO, Luis María",Corrientes
465,"DIAZ LOZANO, Julio César",Tucumán
466,"DIAZ MARTINEZ, Jorge Raúl",Catamarca
467,"DIAZ ROIG, Juan Carlos",Formosa
468,"DIAZ, Susana Eladia",Tucumán
469,"DIEZ, María Inés",Salta
470,"DIGON, Roberto",Cdad.Aut.Bs.As.
471,"DIGON, Roberto Secundino",Cdad.Aut.Bs.As.
472,"DINDART, Julián",Corrientes
473,"DOGA, María Nélida",Buenos Aires
474,"DOMINA, Esteban Alberto",Córdoba
475,"DOMINGUEZ, Dolores Carmen",Cdad.Aut.Bs.As.
476,"DOMINGUEZ, Julián Andrés",Buenos Aires
477,"DOMINGUEZ, Lorenzo Sebastian",Santa Fe
478,"DOMINGUEZ, Ramon Alfredo",San Luis
479,"DOMSIC, Lidia Catalina",Mendoza
480,"DONDA PEREZ, Victoria Analía",Buenos Aires
481,"DONDA PEREZ, Victoria Analía",Cdad.Aut.Bs.As.
482,"DONKIN, Carlos Guillermo",Formosa
483,"DONNI, Luisa Cristina",Santa Fe
484,"DOÑATE, Claudio Martín",Rio Negro
485,"DOVENA, Miguel Dante",Buenos Aires
486,"DRAGAN, Marcelo Luis",Tierra del Fuego
487,"DRAGICEVIC, Carmen Nilda",Tierra del Fuego
488,"DRISALDI, María Rita",Santa Cruz
489,"DUCLOS, Omar Arnaldo",Buenos Aires
490,"DUFOU, Pedro Alfredo",Buenos Aires
491,"DUMON, José Gabriel",Buenos Aires
492,"DURAND CORNEJO, Guillermo",Salta
493,"DURAÑONA y VEDIA, Francisco",Buenos Aires
494,"DURE, Lucila Beatriz",Formosa
495,"DURRIEU, Marcela Margarita",Buenos Aires
496,"DUSSOL, Ramón Adolfo",Chaco
497,"DUTTO, Gustavo Alberto",Buenos Aires
498,"ECHEGARAY, Alejandro",Buenos Aires
499,"ECHEVARRIA, Luis María",Buenos Aires
500,"EHCOSOR, María Azucena",Buenos Aires
501,"ELIAS, Angel Mario",Santa Fe
502,"ELICECHE, Carlos Tomas",Chubut
503,"ELIZONDO, Dante",San Juan
504,"ELORRIAGA, Osvaldo Enrique",Entre Ríos
505,"ERRO, Norberto Pedro",Buenos Aires
506,"ESAIN, Daniel Martín",Mendoza
507,"ESCALANTE ORTIZ, Herminia Elsa",Corrientes
508,"ESCOBAR, Jorge Alberto",San Juan
509,"ESPECHE, Alberto Luis",Salta
510,"ESPER, Laura Reneé",Buenos Aires
511,"ESPINDOLA, Gladys Susana",Córdoba
512,"ESPINOLA, Barbara Ines",Buenos Aires
513,"ESTEBAN, Silvia Graciela",Santa Cruz
514,"ESTEVEZ BOERO, Guillermo E.",Santa Fe
515,"ESTEVEZ, Gabriela",Córdoba
516,"ESTRADA, Arnaldo Damian",Salta
517,"ETCHEVEHERE, Arturo Roosevelt",Entre Ríos
518,"FABIANI, Eduardo",Buenos Aires
519,"FABRIS, Luciano",Chaco
520,"FABRISSIN, Carlos Alberto",Santa Fe
521,"FADEL, Mario Nallib",Catamarca
522,"FADEL, Patricia Susana",Mendoza
523,"FADUL, Liliana",Tierra del Fuego
524,"FAJARDO, Juan Carlos",Mendoza
525,"FALBO, María del Carmen",Buenos Aires
526,"FALLETI, Julio Cesar José",Neuquén
527,"FALU, José Ricardo",Tucumán
528,"FARIZANO, Juan Carlos",Cdad.Aut.Bs.As.
529,"FAUSTINELLI, Hipólito",Córdoba
530,"FAVARIO, Carlos Alberto",Santa Fe
531,"FAYAD, Victor Manuel Federico",Mendoza
532,"FEIN, Mónica Hayde",Santa Fe
533,"FELETTI, Roberto José",Cdad.Aut.Bs.As.
534,"FELGUERAS, Ricardo Ernesto",La Pampa
535,"FELIX, Omar",Mendoza
536,"FELLNER, Eduardo Alfredo",Jujuy
537,"FELLNER, Liliana",Jujuy
538,"FERNANDEZ BASUALDO, Luis María",Formosa
539,"FERNANDEZ BLANCO, María Cristina",Jujuy
540,"FERNANDEZ de COMBES, Elsa A.",Santa Fe
